INFO 2025-12-28 23:48:16,374 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965696 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:35,072 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3822
INFO 2025-12-28 23:48:35,096 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965715 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:40,290 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3834
INFO 2025-12-28 23:48:40,313 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965720 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:41,318 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3830
INFO 2025-12-28 23:48:41,338 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965721 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:42,342 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3831
INFO 2025-12-28 23:48:42,365 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965722 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:44,416 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3836
INFO 2025-12-28 23:48:44,438 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965724 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:45,453 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3845
INFO 2025-12-28 23:48:45,473 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965725 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:49,627 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3887
INFO 2025-12-28 23:48:49,652 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965729 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:54,867 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3897
INFO 2025-12-28 23:48:54,915 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965734 HTTP/1.1" 200 51387
INFO 2025-12-28 23:49:13,374 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 4732
INFO 2025-12-28 23:49:13,397 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965753 HTTP/1.1" 200 52000
INFO 2025-12-28 23:49:49,719 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 4752
INFO 2025-12-28 23:49:49,752 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965789 HTTP/1.1" 200 52000
INFO 2025-12-28 23:49:51,785 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 4765
INFO 2025-12-28 23:49:51,806 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965791 HTTP/1.1" 200 52000
INFO 2025-12-28 23:49:53,847 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 6171
INFO 2025-12-28 23:49:53,871 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965793 HTTP/1.1" 200 58554
INFO 2025-12-28 23:49:57,999 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 6211
INFO 2025-12-28 23:49:58,022 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965797 HTTP/1.1" 200 58554
INFO 2025-12-28 23:50:01,111 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 6214
INFO 2025-12-28 23:50:01,137 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965801 HTTP/1.1" 200 58554
INFO 2025-12-28 23:50:57,404 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 5775
INFO 2025-12-28 23:50:57,437 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965857 HTTP/1.1" 200 58554
INFO 2025-12-28 23:51:00,306 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 6217
INFO 2025-12-28 23:51:00,329 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965860 HTTP/1.1" 200 58554
INFO 2025-12-28 23:51:08,562 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 1299
INFO 2025-12-28 23:51:08,587 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965868 HTTP/1.1" 200 58554
INFO 2025-12-28 23:51:32,501 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 6783
INFO 2025-12-28 23:51:32,534 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965892 HTTP/1.1" 200 59110
INFO 2025-12-28 23:51:54,356 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 6779
INFO 2025-12-28 23:51:54,390 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965914 HTTP/1.1" 200 59110
INFO 2025-12-28 23:51:56,423 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 6788
INFO 2025-12-28 23:51:56,485 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965916 HTTP/1.1" 200 59110
INFO 2025-12-28 23:52:00,588 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 6779
INFO 2025-12-28 23:52:00,617 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965920 HTTP/1.1" 200 59110
INFO 2025-12-28 23:52:06,813 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 6344
INFO 2025-12-28 23:52:06,846 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965926 HTTP/1.1" 200 59110
INFO 2025-12-28 23:52:09,942 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 6344
INFO 2025-12-28 23:52:09,982 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766965929 HTTP/1.1" 200 59110
INFO 2025-12-28 23:52:54,372 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 5587
INFO 2025-12-28 23:52:54,402 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965974 HTTP/1.1" 200 59110
INFO 2025-12-29 00:00:19,527 basehttp 208872 138373069841984 "GET /dashboard/ HTTP/1.1" 200 4799
INFO 2025-12-29 00:00:19,613 basehttp 208872 138373069841984 "GET /static/css/dist/styles.css?v=1766966419 HTTP/1.1" 200 59110
INFO 2025-12-29 00:00:23,652 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 4797
